stemming,genre
ni kisah anak tukang kayu nama joko widodo tinggal hidup rumah pinggir sungai kanak kanak istilah cukup lalu surut semangat anak kampung buru telor bebek terus sekolah didik cinta musik rock tahan pimpin motivasi semangat hidup kisah cinta iriana gadis sederhana teman sekolah adik dorong semangat sang pimpin hadap tantang tinggal notomiharjo orang tua guru sahabat joko tenggelam duka usaha bukti ajar sang ayah keras laku antar anak bantaran kali sosok mata orang orang sekitar rendah hati manusia sama pinggir sungai desa nama srambatan joko tampil pimpin kota lembar tulis sejarah,Drama
farah rika saudara perempuan waris rumah tinggal dadak pergi paksa pindah lambat rika sisi objek gerak farah abai izin saudara dengar desas desus hitung banyak rumah hantu rumah kentang trans rumah kentang farah coba baik jual hasil rika nyaman gera serang rumah farah sesal dengar kakak putus dengar cerita rumah rumah agenda sembunyi dinding rumah farah ungkap rumah rumah kentang,Horor
get m4rried cerita mae nirina zubir rendy nino fernandez raya ulang ana jasa event organizer milik eman aming debut pertama hasil pasang suami istri aju biaya tambah raya ulang mae sehabat sahabat kabar kejut sophie tatjana saphira umum meni lelaki korea nama kim bum park math wang kie lelaki kenal 3 minggu libur korea kim bum park bahasa indonesia dengar mama rendy ira wibowo dukung sophie kim anak konglomerat maklum mama rendy kali meni pangeran malaysia usia 18 benny ringgo agus rahman titi karir ustad dukung nikah sophie nikah sophie gadis meni siri beda pasang suami istri mardi jaja miharja merriam bellina tuduh sophie hamil nikah mae akur sophie coba dekat sophie ubah pikir mae cinta monyet mudah hilang guntoro desta eman aming benny bantu alih perhati sophie lelaki lelaki tiga cari cowok cowok rebut hati sopie senjata makan tuan dekat sophie teman teman sophie sukses selagi muda mae minder buang muda ubah haluan nyambung gaul geng sophie suami sahabat sahabat rendy kesal cacing panas curiga salah teman sophie naksir mae usaha guntoro eman benny hasil hasil temu lelaki sophie nama jali ricky harun anak betawi latih lelaki ideal sesuai kriteria sophie,Laga
lala marshanda sedih mati kandung bagus marcellino lefrandt tenang lala tatap bintang bintang beranda kamar bintang jatuh lala doa tuhan tenang almarhumah ibunda lala jahil saudara tiri bombom cecep reza adu lala tampar rikamamah tiri moudy kubur besok lala temu peri ayu azhari samar merpati putih luka selamat lala hidup lala rundung sedih jahil bombom kawan kawan sekolah rumah marah marah maki maki mamah rika om boyke sultan djorghi tante natasha deasy novianti dukung motivasi tani lala mana pergi musim episode 81 lala bombom kawan kawan lulus sd sekolah ada pisah riah lala bombom kompak hadiah wali kelas menang haru pisah lanjut jenjang,Drama
kylie indah kalalo sutradara kenal tinggal tunang robby andreano phillip apartemen jakarta film baru undang khusus artis tema kuala lumpur jenna aida saskia ilham serial tv gemar tonton serial cerita artis nama patty angel lelga kasih rocky sahabat joena lia ladysta trio macan malang malam nikah patty rocky tragedi darah patty isi rumah bantai habis keji satu nasib tommy adik patty akibat tempat laku bunuh kylie sadar hidup hari hari gambar serial jadi giring fakta buka jadi misteri pecah tante rose huni apartemen ingat robby hati hati misteri perlahan lahan ungkap robby rio shidiq hamidi temu dr lucas adam jordan dokter tarik alam gaib misteri tekan hilang adik randy,Horor
abad tengah genggam pala nila peti emas pasar eropa perang monopoli arab perang salib bawa negara negara eropa lomba temu pulau rempah rempah picu bentrok bangsa bangsa banda satu pala tumbuh tempur bangsa bangsa eropa belanda lepas klaim manhattan ketidakseimbangan rhun pulau banda koloni inggris monopoli dagang pala fuli untung banda pisah cerai indonesia semangat nasionalisme identitas multikultural lahir,Drama
kisah wanita nasib kisah latar mudah asosiasi kisah kisah lacur wanita lindri rima melati susy dana christina sarah lenny marlina lindri steambath blue star manja anak hasil hubung nikah herman rano karno desa anak curi uang tamu hukum laku sama tinggal anak kebut kebut susy pramusaji bantu ibu rawat rumah sakit pacar iwan robby sugara bantu susy tolak iwan orang punya susy hormat korban sia sia ibu tinggal tamu layan tinggal serang jantung sarah suami judi putri lumpuh rumah gusur sarah paksa buat serong borong rayu tekan germo putri tinggal sarah peluk sang borong steambath bahan bicara masyarakat,Drama
abimanyu karindra pilih boyong istri sofia serta anak adik sheila tetap hotel milik orang tua lembah gunung ratus kilometer jakarta nyata bangkrut adil,Horor
kisah juang indonesia merdeka belanda,Laga
rendy marcelino lefrandt pulang indonesia istri laura kelly brook anak aliyah jazz ocampo kelly bal tirai papa dharma ray sahetapy tinggal bunuh rendy guncang tingkah ibu bicara cakap orang gila ibu rendy keluarga rumah rendy bawa ibu rumah sakit rendy sakit alami ibu akibat santet teror teror keri keluarga rendi alami halusinasi gaib satu teror fisik perut rantai muntah kaca lebam lebam tubuh,Horor
bajing sahlan istri zahra sahlan libat darah buron berani pulang malam rongrong istri layan seks wajar zahra terima bintang film sahlan zahra peras produser,Laga
kafka percaya hantu sempat hantu keranjang obat pikir manusia,Horor
anak milik bakat bidang sepak bola tinggal orang tua kawasan wisata gunung bromo bakat sengaja latih sepak bola tawar anak ikut uji coba klub sepak bola sema malang,Drama
inspirasi kisah nyata detektif muda mula pasang polisi alam sekretaris genit lacur jahat sopir milik restoran juru masak,Drama
ratih wijaya guru ki sentanu jatuh cinta boleh turun gunung kampung wijaya selamat kakak wijaya sebar pesan pelihara anak istri dengar ratih pergi sedih jalan nasib buruk timpa perkosa mahesa purwati korban mahesa niat balas dendam ratih ilmu iblis turun ratih,Romantis
mafia jalan kaya ambisius hilang akal sehat bahaya keluarga nikah bayar salah harap takdir,Drama
maria ozawa bintang iklan nama jepang tugas hadiah menang langsung jakarta rencana berangkat maria tulis blog pribadi baca anak muda kevin bimo aan berita bimo aan semangat paksa kevin jemput maria bandara kevin lesu ancam mike jauh jessica gadis cinta tk pergi maria langsung gara gara ramai gemar maria bandara kacau gadis taiwan mie yao bie disangkaaa miyabi alhasil gadis kejar kejar aan pahlawan mata maria paksa kevin bimo selamat mie yao bie kejar gemar mie yao bie amuk kevin cs jahat aan bimo cantik mie yao bie peluang menang taruh mike mike syarat kevin cs bawa gadis cantik pesta kevin jauh jessica umur hidup tar jessica beta tingkah laku mike kasar hubung kevin pandang polos lugu muncul mie yao bie akrab kevin jessica sakit hati kevin cs menang tarung mike bawa gadis cantik pesta hati jessica mike kevin cs mimpi temu cantik maria ozawa mimpi nyata,Komedi
ranti galih desa beda cinta rencana meni duduk desa larang cinta percaya desa satu nikah bencana serang,Romantis
pandu wisata bus korea selatan hadap nyata hidup cinta harap lihat pingsan hubung kandas depresi pria optimisme semangat,Komedi
kisah bima farras fatik anak sanak saudara hasil acara cooking camp acara kemping masak gengsi mahal kurang bima hadap tantang masak chef grant ringgo agus rahman saing audrey chloe x sang juara masak kali cooking camp oliver patrick milligan anak milik restoran nama dukung penuh sahabat ben cole gribble jody clay gribble untung bima milik teman teman semangat nik clarice cutie melly alifa lubis key romaria simbolon kevin marcello alva ali fikry juang bima temu rama morgan oey mantan chef kenal asing ganggu hadir bima rama lambat laun ajar bima masak,Laga
gang gang rumah nicky tangan wanita tinju gaya sadar jebak pacar rencana bunuh pacar lari,Laga
ranti galih desa beda cinta rencana meni duduk desa larang cinta desa satu nikah bencana serang,Romantis
shila nadine chandrawinata kirana ranggani puspandya sahabat semenjak duduk bangku kuliah pergi nepal wujud mimpi daki gunung himalaya india tualang masuk batas nepal jalan temu putar eksistensi tinggal dewasa cinta harap tapak himalaya satu tentang muncul shila kesal kirana ambisius kirana shila simpan rahasia tanah air jengkal raih mimpi,Laga
raina michelle ziudith landa dilema temu mas mas anggara pria tarik cuek hasil tarik perhati iring dekat toby rizky nazar sahabat raina cinta raina,Drama
film cerita hidup tokoh utama khairul azzam mahasiswa indonesia tuntut ilmu universitas al azhar kairo cerita inspirasi perhati kerja keras sang tokoh tuntut ilmu juang hidup adik adik kampung cerita bimbing perhati usaha juang khairul azzam temu jodoh teguh pedoman ajar agama,Romantis
amat perilaku aneh sosialita kaya raya obsesi meriam putra edric gay rekan edric ry yakin bingkai foto majalah pura pura,Komedi
mentalist cerita mental deddy corbuzier ronggo sewu limbad saing hebat ronggo sewu dulunya asisten deddy corbuzier fitnah deddy corbuzier ilmu sihir atraksi sulap terima deddy corbuzier musuh dendam hindar terjun main bahaya nyawa taruh,Laga
seniman video proyek baru kunjung sahabat hilang jansen jansen alami hubung masalah istri lari kota temu,Drama
cinta fitri salah sinetron bangga tayang stasiun televisi sctv pindah indosiar alur cerita padat tarik kadang kadang duga lanjut kunci sukses cinta fitri tahan musim 7 tayang 4 2007 2011 cinta fitri season ramadhan selesai tayang orang kritik jalan cerita cinta fitri jalan cerita season season 1 nyata cinta fitri season 5 puji kejap duduk rating tinggi 2 tanda cinta fitri gari masyarkat indonesia fitri gadis desa lugu norak ceria hati prasangka orang asal desa wonogiri eksistensi bibi orang tua kandung tinggal dunia jelang nikah firman fitri jakarta temu sanak saudara calon suami alangkah syok jakarta nikah temu makam firman makam fitri malu hati tumpang rumah calon suami almarhum pura pura pulang kampung sungguh fitri tinggal jakarta raih impi bibi kecewa sayang terminal bus dompet curi uang habis fitri coba warung nasi soto milik maya anak sanak saudara hutama kaya raya usir keluarga meni bram lelaki miskin oportunis moza anak almarhum sahabat hutama moza jodoh istri farrel kelak cinta farrel kubur pacar mischa pergi tinggal studi negeri hubung farrel fitri moza hadir ganggu farrel peduli hutama ancam pilih fitri waris usaha farrel hasil atas moza runyam datang mantan pacar mischa hati farrel ragu cinta bukti kuat farrel fitri pasang iri fitri jatuh jembatan wongiri farrel sanak saudara panik bulik rini kalut untung fitri selamat temu orang orang kampung acara pernihakan langsung bahagia tinggal konflik mertua menantu otomatis muncul fitri lia libat konflik akibat oma panas manasi lia konflik aldo kayla kalah panas aldo anggap sibuk urus orangtuanya norman hidup rumah tangga maya bram temu jalan putus kantor usaha properti milik emil bumerang pasal maya bram rahasia status suami istri emil naksir maya kisah moza vino partner kerja retro belagu moza sebal vino alas sikap sinis wanita lahir gara gara lalu buruk asmara kerap ribut duga vino jadi moza nasib beda moza jodoh aldo norman yuga tinggal dua rumah kontra yuga bahagia temu nabila guru sekolah saat fitri positif hamil farrel jeblos penjara tuduh bunuh bram hutama lia kalut kecuali maya tuntut farrel bebas mischa panas maya ambil waris hutama alas alif provokasi hasil maya kuasa harta ayah hutama lia oma tenang pindah rumah kontra milik fitri farrel temu bahagia duga kayla koma donor sum sum finza had ubah sengit aldo moza meni perang dingin elak fitri kaget sosok bram anggap fitri halusinasi hilang bram giring mischa temu partner gempur bahagia fitri farrel faiz aku putra kandung hutama sungguh farrel sanak saudara hutama pukul juang putra nanti nanti farrel fitri lahir selamat farrel bu lia nama anak alas bu lia cinta hormat haru bu lia nama bayi raffa emeraldi hutama bu lia farrel amanat hutama tinggal jaga sanak saudara retro apa farrel fitri kuasa tolak mischa faiz kejut pulang farrel fitri oma rumah bu lia farrel retro bram remeh mischa faiz hasil temu master cctv hutama tinggal dunia retro bram shock bunuh mischa faiz bram oportunis bongkar kedok mischa faiz peras untung aldo hilang moza culik tristan libur villa jalan aldo hasil temu moza moza isteri tristan usaha farrel fitri bongkar kedok mischa faiz mischa faiz biar farrel fitri raffa eksistensi bahagia aldo moza hubung maya bram lia jebak runtuh hotel gempa hebat landa yogyakarta jadi naas tepat bongkar rahasia faiz anak kandung lia luka parah eksistensi mati mischa faiz takut manfaat situasi kacau lari farrel gelisah lia selesai bicara tutup telepon seberang asa nyaman sergap hati farrel kabar yogyakarta landa gempa farrel cemas panik ibu hubung cepat kilat putus berangkat yogyakarta firasat lia bahaya butuh tolong oma syok bawa rumah sakit dengar kabar yogyakarta landa gempa lia jebak bencana nasional sanak saudara menang doa selamat lia oma mischa usaha cari lia harap lia tinggal faiz paksa kabur mischa bersikukuh tinggal yogyakarta lia tinggal farrel yogyakarta susah payah temu jenazah lia faiz jenazah farrel jenazah lia faiz buru buru memberitahu mischa mischa girang main tuju pulang jakarta mischa faiz salah jenazah lia allah maha lia hidup tahan puing puing hotel farrel hasil selamat lia faiz mischa sadar keliru kejut farrel hasil bawa lia pulang kondisi sadar sampa jakarta kondisi lia turun ubah koma nyata mischa bohong faiz mischa diam usaha habis lia rumah sakit usaha mischa hasil lia sadar koma mischa takut coba kabur tangkap amarah farrel ledak dengar cerita lia mischa faiz tangkap polisi sidang mischa faiz dakwa tipu coba bunuh bunuh rencana mischa sengaja tusuk fitri bawa rumah sakit ambulans farrel kejar handoko hasil kabur mischa kondisi kritis fitri tunggu mischa oma lia rumah duga handoko sandera raffa niat habis lia oma bulik konfrontasi langsung handoko untung lia abar kondisi farrel farrel polisi kepung handoko handoko kabur farrel hasil kejar handoko aku buat peleset jatuh tinggal mischa baik sadar terima kasih buka konfrontasi fitri sanak saudara hutama usaha bawa farrel rumah lingkung sanak saudara hutama sanak saudara langsung kesal lia stress jatuh sakit kondisi tegang mischa hasil kuasa farrel sehat lia buruk lia tinggal dunia kali kondisi hamil kondisi sanak saudara hutama hilang lia pecah belah maya janji nikah hartawan cerai rasa cinta bram kayla sakit parah guna aldo bantu farrel fitri kondisi ancam sehat putri aliza cerai mozza nikah angel oma tiada duka sanak saudara hutama mischa dendam sanak saudara hutama muncul cacat wajah bakar paruh celaka lampias marah fitri farrel mischa rencana culik raffa keluarga hutama satu farrel pulih lumpuh khawatir mischa hasil masuk rumah sanak saudara hutama fitri ambil risiko tuju usul lia hutama bawa sembunyi raffa rumah rencana sembunyi raffa hitung mischa diam diam awas sanak saudara hutama rencana cium mischa sanak saudara hutama hubung polisi lindung sanak saudara hutama kejar mischa mischa licin hindar kejar polisi diam diam ikut fitri fitri lengah mischa hasil rebut raffa peluk fitri mischa bawa pergi raffa kayla desak had nikah rita kondisi buruk abel berat kondisi kayla tuju nikah had rita ajaib rita meni had kondisi sehat kayla angsur angsur sembuh aldo usaha baik hasil melampuai usaha otomatis sanak saudara aldo gelimang harta ubah mozza mozza gengsi didik aliza manja aliza farrel rebut raffa cengkeram mischa kayla hadap rita madu sehat tanggap sanak saudara iman ubah sikap mozza,Romantis
bia orang anak perempuan komodo sendiri koper penuh pakai desainer papan buku kembang hafal,Drama
kevin kevin anggara sekolah bosan milik 3 orang rekan bonbon teuku rizky muhammad mas joshua suherman johanna clairine clay kevin milik prestasi tonjol keluarga tuju kevin lulus kevin temu website tantang iseng sekolah kevin laku nikmat kevin jahil usaha iseng sekolah lepas target jahil kevin,Komedi
mada george rudy anggota komplot jahat tampan sopan santun pacar puji tetty liz indriati ajak bangun rumah tangga gantung hasil rampok anjur puji lepas dunia jahat bangun uang simpan turut mada garong toko emas mada kawin hilang puji usaha jual rokok gado gado anggota komplot cari cari paksa mada gabung aksi mada tolak puji culik mada puji lumpuh kawan kawan tangkap polisi,Laga
finding srimulat angkat kisah pasang muda nama adika fajar reza rahadian astrid lyanna rianti cartwright pasang anak muda mimpi hidup mandiri adika bangun karier usaha selenggara acara astrid lawan orangtuanya kuliah selesai tekun bisnis berani hamil astrid adika sisi khianat rekan kerja adika jolim fauzi baadilla tempat usaha selenggara acara adika jurang bangkrut galau sengaja adika titik terang mobil bakar restoran milik kadir salah legenda srimulat sisa adika milik kenang khusus srimulat tapak bawa srimulat mentas unik,Komedi
bunuh suami wanita cemburu badrowi pukul habis habis duduk desa jasad buang jurang oleh kuat gaib ekor laba laba teror desa,Laga
belanda ikat janji renville henti gencat senjata tanggal 19 desember 1948 panglima angkat darat jenderal spoor noord simons pimpin agresi militer ii serang kota republik indonesia yogyakarta belanda tangkap soekarno hatta asing pulau bangka jenderal soedirman derita tuberkulosis pimpin perang gerilya tujuh lawan belanda belanda indonesia hutan soedirman republik indonesia kuat juang merdeka rakyat indonesia soedirman ubah jawa zona perang gerilya perlahan hancur logistik belanda tentara tentara belanda milik taktik gerilyawan injak injak soedirman kalah satu tni rakyat soedirman menang perang militer,Laga
kris preston hadap gangster kuat buntao buntao dazo gangster tingkat,Laga
pesawat terbang jatuh pulau gadis pencil selamat jelita usia balita ayah pisah pulau eksistensi kelompok suku asing bas tarik paralog antropologi selidik lidi pimpin prof seno alami gagal selidik pimpin haidar damping buru tua lidi gagal ancam kelompok buru harta karun bunuh prof seno jelita dewasa lydia kandou perawan rimba hasil selamat ekpedisi haidar serang suku asing peristiwa temu jelita buru tua ayah tinggal luka,Laga
raya ulang nikah buruk pasang suami istri alya bima dampak timpa pasang chorina din pasang sahabat karib jebak,Drama
sekuel film jelangkung 2001 ungkap rahasia jelangkung,Horor
alam mia pasang temu jatuh cinta dunia maya hubung restu keluarga mia dapat alam kerja main sosmed kerja lahir anak alam bukti ambu abah orang tua mia suami idam alam usaha mia lahir rumah sakit baik sial uang siap paket promo kirim rumah sakit kacau akibat alam tambah tuntut keluarga mia,Komedi
asrama huni asrama teror makhluk gaib jenis makhluk gaib makmum ikut ikut shalat,Horor
kasih muda hong kong jebak coba lari nyata,Laga
stella bunga citra lestari gadis cantik padang pilih kakak tasya inne azsi kuliah jakarta stella jalin hubung dami rama michael putra mahkota kerabat kaya guntara pacar dami stella bintang pesta kalang jetset dami bohong stella peduli stella temu elang andhika pratama gitaris bantu teman rekam album musik wisuda tasya elang ajak stella panggung stella nyanyi kali elang asa stella senang elang buat nyaman berani putus hubung dami elang tuju orang stella susah elang cemburu saksi stella dami,Romantis
pipin kartika putri ayudya obsesi pacar bule alias orang asing jadi suami usia injak 30 dapat frustrasi temu pria brengsek,Drama
film omnibus karya sutradara wanita nia dinata cinta bagi upi avianto radit jani lasja fauzia susatyo bintang sutradara tamu fatimah rony,Drama
cerita film remaja nama faraz lingkung rumah tangga duga hamil nikah pikir skeptis lintas pikir teman teman amanda kawan sekolah anggap faraz sosok munafik duga bukti amanda penasaran sekolah keluar faraz sekolah siswi hamil langsung keluar sekolah pacar cowok orang tua faraz ajar pesantren sahabat amanda fariz kisah cinta amanda kasih ucap udah putusin aja,Romantis
lisa meriam bellina perkosa sadis hengky tyas wahono kawan kawan hengky baron jack maland sigit subangun buang jalan akibat lisa derita sakit jiwa rawat dr iwan herman fani jiwa dokter kasus tangan kapten pol markus mathias muchus sahabat iwan sukar pecah lisa idap amnesia alias lupa lalu awat rumah sakit selesai lisa ajak tinggal rumah iwan iwan duga segi selesai tesis doktor spesialisasi tuntut tanggung profesi markus penasaran karenya banyak perkosa selesai lidi iwan markus temu adik adik lisa foto keluarga ingat lisa pulih sama harap sembuh lisa iwan jatuh hati lisa tata rumah iwan buka kios bunga damai hengky dkk muncul tampak kios teror lisa jalan untung iwan kelahi iwan kalah hengky dkk seret polisi markus usaha tunda hengky dkk kurang bukti bebas adil lisa tindak kuntit hengky dkk nekad tabrak kawan hengky perkosa tewas hengky luka lisa tampil adil curi hukum sembilan penjara vonis gedung hengky ejek lisa ledak pestol polisi renggut hengky habis adil banding kukuh hukum,Laga
mama cake kisah raka ananda omesh willy boy william rio arie daginkz sahabat karakter raka asal keluarga broken home willy pria tampan suka bergonta ganti pasang rio milik sifat aneh kali raka hubung ayah beli kue brownies kukus nama mama cake minta nenek raka sakit keras nenek raka mama cake spesifik beli toko roti bandung kecewa nenek raka menyyanggupi minta raka willy rio teman beli kue mama sana jalan tiga jalan mobil raka kutip biasa willy suka bergonta ganti pasang willy kilah milik komitmen serius hak cari seseroang resiko patah hati wanita jalan sengaja tabrak pria misterius aneh pria alami luka apa pria nasehat hidup tiga sahabat tiga paham nasehat beda pribadi milik konflik putus pisah raka putus lanjut jalan beli mama cake willy putus kejar wanita suka rio pilih tentu tuju beda tiga sahabat temu cerah raka ulang kali gagal brownies kukus mama cake sadar maksud nenek mama cake willy akan karma kejar wanita wanita manfaat tinggal willy willy sadar tinggal duga sakit willy janji main hati perempuan rio alami alam spiritual temu pria misterius tabrak mama cake satu tiga sahabat harga jalan,Komedi
bisik nafsu kisah pria nama aldy ibra azhari aldy anak orang tua ibu nikah pria hamil darah seniman alir deras aldy bukti mahir seni lukis lukis aldy laris bincang orang orang aldy sunting wanita idam sally windy chindyana dua jatuh cinta putus meni dua meni putus pergi bulan madu tuju bulan madu vila milik kakek sally udara sejuk villa alas besar pilih villa dua madu malapetaka timpa petaka awal muncul wanita misterius wanita muncul kelebat kelebat pandang dua akan wanita tiada aldy penasara wanita putus dekat baru aldy nama wanita wanita nama laras febby r lawrence milik cantik pesona aldy bius cantik laras aldy dekat wanita berang sally istri aldy marah istri gubris aldy bius cantik laras laras aldy kalung batu akik aldy penasaran kalung batu akik kalung galeri milik galeri memberitahu aldy kalung kalung kuno kalung pula bawa aldy laras laras istri buyut sally tindak suka selingkuh buat bunuh kakek buyut selly aldy paham rayu arwah arwah bawa aldy dunia,Horor
winter tokyo pusat hidup ishida keiko pamela bowie gadis turun jepang indonesia simpan cinta pertama film cerita keiko tetangga apartemen street ambil gambar bakat tinggal new york nama nishimura kazuto dion wiyoko tarik singkat keiko kazuto akrab kenal pribadi bagi keiko temu cinta pertama kitano akira morgan oey keras keiko usaha akira sibuk akira dokter ruang kazuto tumbuh asa istimewa keiko kazuto sedih hari malam natal indah musibah timpa kazuto pukul keras kepala kazuto koma cedera akibat kazuto jadi bulan keiko tokyo bangun kenang new york cinta buat iwamoto yuri kimberly ryder,Romantis
libur sekolah istimewa bawa siswa sekolah tengah peristiwa tualang ajar hidup,Drama
pikir juang gedung penuh gangster orang gila tarung tinggal tubuh polisi gangster tumpuk lorong polisi jakarta rama pikir selesai lanjut hidup normal salah tangguh lawan rama gedung nilai ikan renang kolam impi menang goreng tarik perhati predator rantai makan keluarga ancam rama milik pilih lindung putra istri bayi samar pasuk dunia kriminal daki pasu hierarki saing bawa politis korup polisi tarik tali tumpu rama embara keras jalan paksa sisih hidup sejarah ambil identitas laku keras yuda penjara percaya uco putra gembong gaul muka gabung gaul letak hidup garis langkah habis busuk bisnis,Laga
jalan manusia salawaku saras beda usia2 penting beda sifat beda muncul kawanua kakak angkat salawaku susul salawaku salawaku terima kawanua jalan anggap lelaki baik kawanua buta mata saras salawaku saras perlahan lahan sentuh patah hati alih kawanua titik salawaku sadar jauh piru kota mana kabar kakak salawaku binaiya konflik drama serta kisah jalan temu binaiya sosok lang jauh manusia,Laga
film omnibus kisah enam cerita putar intimidasi enam hantu khas indonesia ustaz kiky armando uji intimidasi pocong gadis putri ayudya kunjung bajang pasca gugur kandung tipu daya sundel bolong gadis hamil marya supraba reporter investigasi gandhi fernando kait legenda begu ganjang misterius gadis dea ananda temu ayah pelihara genderuwo gadis btari cinta tari larang panggil lehak makhluk kutuk legenda,Horor
ajar keluarga kaya milik hubung gadis kampus cinta pasang tolak orang tua,Laga
kevin kevin anggara sekolah bosan milik 3 orang teman bonbon teuku rizky muhammad mas joshua suherman johanna clairine clay kevin milik prestasi tonjol keluarga tuju kevin lulus kevin temu website tantang iseng sekolah kevin laku nikmat kevin jahil usaha iseng sekolah lepas target jahil kevin,Komedi
ira profesi model kelly sahabat kelas anak prestasi kali ira nilai kelly kelly terima tuduh ira contek ira sangkal kelly tantang ira ira kalah uas kelly ira contek ira terima tantang teman teman ragu ragu ira cari kalah kelly ira coba dekat aldo sepupu kelly langgan juara kelas aldo pintar teman aldo anggap aneh teman teman ira aldo ajar aldo serah ajar ira syarat jadwal ajar ganggu jadwal modeling ira tuju nyata pontang panting sesuai jadwal taktik hasil ira tahu bohong aldo alin model koordinator ira patuh isi kontrak kena penalti aldo bohong ajar ira ira juang menang taruh kelly,Romantis
kisah cinta caramel michelle ziudith dave mas anggara rencana libur swiss dave batal rencana menit menit tinggal caramel dua pria,Drama
ipin desta clubeighties anak sma ketua teman teman baya ekonomi telat daftar sekolah bakat nyanyi unik nyanyi ala broery pesolima nyanyi top era 70 ipin jatuh cinta teman kelas gadis kaya cantik pintar nama tiara revalina temat tiara pacar marco ringgo agus rahman kapten tim keranjang sekolah juara favorit cover boy majalah jadi marco musuh bebuyutan ipin marco halal ipin musnah sekolah ipin niat pacar tiara,Komedi
tampil hidup anak desa indonesia film tuju ajak anak anak sayang binatang per main profesional anak anak desa segalaherang subang kera,Drama
ayah fatma tewas tembak portugis fatma fatma temu jaka swara anak haji abdullah anak akrab abdullah buah kalung kalung fatma kalung bintang jaka abdullah libat bentrok kelompok lawan portugis pimpin portugis marah anak buah kalah abdullah esok hari abdullah serang orang orang portugis abdullah istri tewas tembak john da costa fatma bawa kelompok jajah jaka jauh rumah bakar fatma jadi tari jaipong markas portugis jaka tempa ilmu bela garuda putih guru dewasa jaka perintah guru embara tegak amar ruf nahi munkar jalan jaka wanita kereta kendali kuda jaka lari tolong wanita fatma temu kelompok john da costa jaka hasil bunuh john lari tembak kaki portugis temu jaka umpan fatma jaka sembunyi jaka suruh paksa tega teman siksa mandor jaka pukul mandor buat jaka simon anak john simon tantang jaka tarung lawan jago jago silat minggu jaka masuk penjara makan tarung orang lolos saring tarung jaka salah serta penjara tarung tenaga hasil lepas tangan belenggu langsung lari arena tarung jaka menang suasana kacau simon hendak bakuhantam simon cs rakyat tarung lawan jaka hasil kalah simon menang sambut gegap gempita rakyat jajah,Laga
film jailangkung 2 kisah adik bella tasya gabriella quinlynn sepi sengaja tonton rekam video milik ayah ferdi lukman sardi komunikasi arwah almarhumah istri jailangkung tasya rakit jailangkung main harap komunikasi almarhumah ibu jadi timbul arwah bawa petaka bella rama gabung rekan bram naufal samudra tualang dasar laut kalah titis setan kuasa angel hannah al rasyid kakak bella bawa pergi tasya gaib,Horor
delapan agen siasat sembunyi tugas samar komedian tunggal rangka cari komedian hubung jahat ulung nama king milik kasino judi spektakuler asia,Laga
